Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC,gameCode,date,home_team,away_team
2024,1,62,PAN,P012774,"NUNN, KENDRICK",2FGM,Two Pointer,2,56,338,E,0,0,1,2,08:38,0,4,20241003164822,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,115,PAN,P012774,"NUNN, KENDRICK",FTM,Free Throw In,1,-1,-1, ,0,0,0,6,04:38,5,12,20241003165711,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,116,PAN,P012774,"NUNN, KENDRICK",FTM,Free Throw In,1,-1,-1, ,0,0,0,6,04:38,5,13,20241003165723,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,139,PAN,P012774,"NUNN, KENDRICK",3FGA,Missed Three Pointer,0,690,207,I,0,0,0,8,02:44,7,19,20241003170016,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,207,PAN,P012774,"NUNN, KENDRICK",3FGA,Missed Three Pointer,0,-244,671,H,0,0,0,14,06:16,25,35,20241003171117,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,269,PAN,P012774,"NUNN, KENDRICK",2FGA,Missed Two Pointer,0,200,414,G,0,0,0,19,01:29,32,42,20241003172130,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,274,PAN,P012774,"NUNN, KENDRICK",3FGM,Three Pointer,3,213,715,I,0,0,0,20,00:54,34,45,20241003172204,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,277,PAN,P012774,"NUNN, KENDRICK",2FGA,Missed Two Pointer,0,25,119,C,0,0,0,20,00:33,34,45,20241003172228,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,304,PAN,P012774,"NUNN, KENDRICK",2FGA,Missed Two Pointer,0,150,307,E,0,0,0,21,09:21,38,45,20241003173951,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,345,PAN,P012774,"NUNN, KENDRICK",FTM,Free Throw In,1,-1,-1, ,0,0,0,24,06:21,42,50,20241003174838,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,346,PAN,P012774,"NUNN, KENDRICK",FTM,Free Throw In,1,-1,-1, ,0,0,0,24,06:21,42,51,20241003174846,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,368,PAN,P012774,"NUNN, KENDRICK",2FGA,Missed Two Pointer,0,81,106,C,0,0,0,26,04:51,45,51,20241003175114,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,381,PAN,P012774,"NUNN, KENDRICK",2FGM,Two Pointer,2,0,106,B,0,0,1,27,03:30,47,55,20241003175239,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
2024,1,393,PAN,P012774,"NUNN, KENDRICK",FTM,Free Throw In,1,-1,-1, ,0,0,1,27,03:30,47,56,20241003175503,1,"Oct 03, 2024",ALBA BERLIN,PANATHINAIKOS AKTOR ATHENS
