Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC,gameCode,date,home_team,away_team
2023,9,32,MCO,P005985,"JAMES, MIKE",2FGA,Missed Two Pointer,0,-25,156,B,0,0,0,3,08:00,4,3,20231006183626,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,59,MCO,P005985,"JAMES, MIKE",3FGA,Missed Three Pointer,0,301,664,I,0,0,0,5,05:47,6,7,20231006184004,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,110,MCO,P005985,"JAMES, MIKE",3FGM,Three Pointer,3,483,558,I,0,0,0,8,02:17,12,18,20231006184728,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,118,MCO,P005985,"JAMES, MIKE",FTM,Free Throw In,1,-1,-1, ,0,0,0,9,01:45,15,19,20231006184906,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,119,MCO,P005985,"JAMES, MIKE",FTM,Free Throw In,1,-1,-1, ,0,0,0,9,01:45,15,20,20231006184907,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,197,MCO,P005985,"JAMES, MIKE",2FGA,Missed Two Pointer,0,43,62,C,0,0,0,14,06:06,26,25,20231006190533,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,206,MCO,P005985,"JAMES, MIKE",3FGM,Three Pointer,3,-690,-62,H,0,0,0,15,05:24,29,28,20231006190643,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,211,MCO,P005985,"JAMES, MIKE",2FGM,Two Pointer,2,-282,470,F,0,0,0,16,04:48,32,30,20231006190719,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,227,MCO,P005985,"JAMES, MIKE",3FGA,Missed Three Pointer,0,508,614,I,0,0,0,17,03:41,32,32,20231006190947,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,244,MCO,P005985,"JAMES, MIKE",2FGM,Two Pointer,2,326,313,G,0,0,1,19,01:58,32,36,20231006191217,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,247,MCO,P005985,"JAMES, MIKE",2FGA,Missed Two Pointer,0,100,244,E,0,0,0,19,01:19,34,36,20231006191444,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,306,MCO,P005985,"JAMES, MIKE",3FGA,Missed Three Pointer,0,131,759,I,0,0,0,21,09:24,41,38,20231006193703,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,358,MCO,P005985,"JAMES, MIKE",2FGM,Two Pointer,2,69,69,C,0,0,0,26,04:52,41,46,20231006194810,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,367,MCO,P005985,"JAMES, MIKE",FTM,Free Throw In,1,-1,-1, ,0,0,0,26,04:52,41,47,20231006195052,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,369,MCO,P005985,"JAMES, MIKE",3FGA,Missed Three Pointer,0,-12,752,H,0,0,0,26,04:15,43,47,20231006195134,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,383,MCO,P005985,"JAMES, MIKE",2FGM,Two Pointer,2,6,332,E,0,0,0,28,02:45,43,51,20231006195322,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
2023,9,441,MCO,P005985,"JAMES, MIKE",3FGA,Missed Three Pointer,0,-219,696,H,0,0,0,32,08:33,53,51,20231006200456,9,"Oct 06, 2023",VALENCIA BASKET,AS MONACO
