Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2025,1,4,IST,P014102,"JONES, KAI",2FGM,Two Pointer,2,-12,-6,A,0,0,0,1,09:39,2,0,20250930174549
2025,1,8,IST,P007200,"LARKIN, SHANE",3FGA,Missed Three Pointer,0,414,602,I,0,0,0,1,09:11,2,0,20250930174617
2025,1,11,IST,P012710,"OSMANI, ERCAN",2FGM,Two Pointer,2,-307,0,D,0,1,1,2,08:57,4,0,20250930174631
2025,1,12,TEL,P011219,"SORKIN, ROMAN",2FGM,Two Pointer,2,-81,125,B,0,0,0,2,08:42,4,2,20250930174647
2025,1,16,TEL,P011219,"SORKIN, ROMAN",FTM,Free Throw In,1,-1,-1, ,0,0,0,2,08:42,4,3,20250930174714
2025,1,17,IST,P010391,"WEILER-BABB, NICK",3FGM,Three Pointer,3,125,759,I,0,0,0,2,08:19,7,3,20250930174738
2025,1,20,TEL,P014127,"BRISSETT, O'SHAE J",2FGM,Two Pointer,2,0,351,D,0,0,0,2,08:05,7,5,20250930174808
2025,1,22,IST,P009549,"CORDINIER, ISAIA",2FGM,Two Pointer,2,31,94,C,0,0,0,3,07:48,9,5,20250930174825
2025,1,23,TEL,P013699,"CLARK III, JIMMY",2FGA,Missed Two Pointer,0,-382,319,F,0,0,0,3,07:37,9,5,20250930174836
2025,1,25,TEL,P006835,"HOARD, JAYLEN",2FGM,Two Pointer,2,-119,87,B,0,1,0,3,07:33,9,7,20250930174840
2025,1,26,IST,P010391,"WEILER-BABB, NICK",3FGA,Missed Three Pointer,0,-514,577,H,0,0,0,3,07:13,9,7,20250930174900
2025,1,30,TEL,P006835,"HOARD, JAYLEN",2FGA,Missed Two Pointer,0,-112,50,B,0,0,0,3,07:01,9,7,20250930174929
2025,1,33,IST,P014102,"JONES, KAI",2FGM,Two Pointer,2,-12,12,A,0,0,0,4,06:46,11,7,20250930174944
2025,1,35,TEL,P006835,"HOARD, JAYLEN",2FGM,Two Pointer,2,-81,495,F,0,0,0,4,06:27,11,9,20250930175009
2025,1,37,IST,P009549,"CORDINIER, ISAIA",3FGA,Missed Three Pointer,0,-476,646,H,0,0,0,4,06:07,11,9,20250930175029
2025,1,41,IST,P009549,"CORDINIER, ISAIA",2FGM,Two Pointer,2,43,62,C,0,1,0,4,06:01,13,9,20250930175109
2025,1,45,IST,P009549,"CORDINIER, ISAIA",FTM,Free Throw In,1,-1,-1, ,0,1,0,5,05:53,14,9,20250930175137
2025,1,46,TEL,P011193,"BLATT, TAMIR",3FGA,Missed Three Pointer,0,470,696,I,0,0,0,5,05:53,14,9,20250930175149
2025,1,48,IST,P012710,"OSMANI, ERCAN",3FGA,Missed Three Pointer,0,608,414,I,0,0,0,5,05:53,14,9,20250930175204
2025,1,50,IST,P012710,"OSMANI, ERCAN",2FGM,Two Pointer,2,388,50,E,0,1,0,5,05:53,16,9,20250930175223
2025,1,51,TEL,P014127,"BRISSETT, O'SHAE J",2FGM,Two Pointer,2,326,351,G,0,0,0,5,05:53,16,11,20250930175239
2025,1,58,TEL,P011219,"SORKIN, ROMAN",FTM,Free Throw In,1,-1,-1, ,0,0,1,6,04:17,16,12,20250930175521
